Dragonfly by Dennis James Stelmach following the Dragonfly book available at https://dragonfly.wpi.edu/book/
      | 19:41:10.452 | LogManager       | Started.
      | 19:41:10.860 | DisplayManager   | Started.
      | 19:41:10.860 | DisplayManager   | Size of window: 1024px x 768px.
      | 19:41:10.860 | WorldManager     | Started.
      | 19:41:10.860 | WorldManager     | Size of world: 80.000000 x 60.000000.
      | 19:41:10.860 | WorldManager     | Size of viewable area: 32.000000 x 60.000000.
      | 19:41:10.861 | WorldManager     | Top-left corner of world: -24 0.
      | 19:41:10.861 | InputManager     | Started.
      | 19:41:10.861 | GameManager      | Started.
      | 19:41:10.861 | GameManager      | Started.
      | 19:41:10.885 | ResourceManager  | Started.
      | 19:41:10.885 | ResourceManager  | Loading sprite 'good-spr'.
      | 19:41:10.885 | ResourceManager  | Loading file 'sprites/good-spr.txt'.
      | 19:41:10.886 | ResourceManager  | Sprite 'good-spr' loaded.
      | 19:41:10.886 | ResourceManager  | Loading sprite 'bad-spr'.
      | 19:41:10.886 | ResourceManager  | Loading file 'sprites/bad-spr.txt'.
ERROR | 19:41:10.887 | ResourceManager  | Error loading sprite frame: Frame does not exist.
ERROR | 19:41:10.887 | ResourceManager  | Error loading bad-spr sprite: 1 frame not declared properly in BODY
ALERT | 19:41:10.887 | ResourceManager  | Sprite 'bad-spr' not loaded.
      | 19:41:10.887 | ResourceManager  | Loading sprite 'nan-spr'.
      | 19:41:10.887 | ResourceManager  | Loading file 'sprites/nan-spr.txt'.
ERROR | 19:41:10.887 | ResourceManager  | Error opening 'nan-spr' sprite from file 'sprites/nan-spr.txt'.
ALERT | 19:41:10.887 | ResourceManager  | Sprite 'nan-spr' not loaded.
      | 19:41:10.887 | ResourceManager  | Loading sprite 'good-spr'.
ERROR | 19:41:10.887 | ResourceManager  | Cannot load sprite with label 'good-spr'. 'good-spr' already loaded.
      | 19:41:10.887 | ResourceManager  | Loading sound 'explode'
      | 19:41:10.889 | ResourceManager  | Sound 'explode' loaded.
      | 19:41:10.889 | ResourceManager  | Loading sound 'fire'
      | 19:41:10.891 | ResourceManager  | Sound 'fire' loaded.
      | 19:41:10.892 | ResourceManager  | Loading sound 'game-over'
      | 19:41:10.906 | ResourceManager  | Sound 'game-over' loaded.
      | 19:41:10.906 | ResourceManager  | Loading sound 'nuke'
      | 19:41:10.914 | ResourceManager  | Sound 'nuke' loaded.
      | 19:41:10.914 | ResourceManager  | Loading music 'start_music'
      | 19:41:10.914 | ResourceManager  | Music 'start_music' loaded.
      | 19:41:10.914 | ResourceManager  | Loading sound 'explode'
ALERT | 19:41:10.914 | ResourceManager  | Cannot load sound with label 'explode'. 'explode' already loaded.
      | 19:41:10.914 | ResourceManager  | Loading sound 'start_music'
      | 19:41:10.990 | ResourceManager  | Sound 'start_music' loaded.
      | 19:41:10.990 | ResourceManager  | Loading sound 'abc'
ERROR | 19:41:10.990 | Sound            | Error loading sound from file 'sounds/abc.wav'
ALERT | 19:41:10.990 | ResourceManager  | Unable to load sound 'abc' from file 'sounds/abc.wav'.
      | 19:41:10.990 | ResourceManager  | Loading music 'abc'
ERROR | 19:41:10.991 | Music            | Error loading music from file 'sounds/abc.wav'
ALERT | 19:41:10.991 | ResourceManager  | Unable to load music 'abc' from file 'sounds/abc.wav'.
ALERT | 19:41:10.991 | WorldManager     | Can now recieve events of type 'df::step'
      | 19:41:10.991 | Object 0         | Spawned. Awaiting sprite or manual insert for world insertion.
      | 19:41:10.991 | TestObject 0     | Renamed TestObject.
      | 19:41:10.991 | TestObject 0     | Sprite set to 'good-spr'.
      | 19:41:10.991 | SceneGraph       | Inserting object 'TestObject 0'
